x,y,z,yaw,velocity,change_flag
-9.6614,-217.0005,-1.9983,0.4816,10,0
-8.3523,-216.3257,-2.0484,0.4991,10,0
-7.115,-215.6273,-1.99,0.5175,10,0
-5.6521,-215.031,-1.9025,0.5391,10,0
-4.6728,-214.1919,-1.9526,0.5556,10,0
-3.5001,-213.3836,-2.0048,0.5756,10,0
-2.2891,-212.6108,-1.9958,0.5953,10,0
-1.0963,-211.7831,-1.9963,0.6232,10,0
0.0763,-210.9068,-2.0486,0.652,10,0
1.1637,-210.0611,-1.9963,0.6759,10,0
2.2493,-209.1244,-1.995,0.7075,10,0
3.3053,-208.1805,-1.991,0.7338,10,0
4.362,-207.2023,-1.9899,0.7596,10,0
5.385,-206.2009,-1.9972,0.7901,10,0
6.355,-205.1384,-2.0001,0.8197,10,0
7.3421,-204.0948,-1.9963,0.8464,10,0
8.2488,-203.021,-1.9818,0.8726,10,0
9.1544,-201.9082,-1.9896,0.9004,10,0
10.0287,-200.7796,-1.9911,0.9268,10,0
10.8849,-199.6226,-1.9858,0.9518,10,0
11.7033,-198.4585,-1.9936,0.9748,10,0
12.4812,-197.2391,-1.9927,1.0059,10,0
13.2421,-196.0213,-1.997,1.0337,10,0
13.9325,-194.7685,-2.0003,1.064,10,0
14.6203,-193.5129,-1.9968,1.0929,10,0
15.2417,-192.2364,-1.9917,1.1225,10,0
15.835,-190.9034,-1.9958,1.145,10,0
16.4101,-189.6141,-1.9956,1.1756,10,0
16.9414,-188.3027,-1.989,1.1958,10,0
17.4661,-186.9436,-2.0393,1.2127,10,0
17.9356,-185.5999,-1.9965,1.2329,10,0
18.3952,-184.2319,-1.9931,1.2508,10,0
18.8508,-182.8708,-1.9918,1.2689,10,0
19.2593,-181.5081,-1.9905,1.2904,10,0
19.6458,-180.1209,-1.9919,1.3074,10,0
20.005,-178.7165,-1.9975,1.3242,10,0
20.3215,-177.3009,-1.9933,1.3387,10,0
20.6486,-175.8508,-1.9956,1.3445,10,0
20.9973,-174.4248,-1.9897,1.349,10,0
21.3231,-172.9787,-1.9953,1.3535,10,0
21.6557,-171.5379,-1.9919,1.3621,10,0
21.9453,-170.105,-1.9915,1.3725,10,0
22.2197,-168.6277,-1.9913,1.3853,10,0
22.5047,-167.1696,-1.9909,1.3981,10,0
22.7432,-165.7216,-1.9933,1.4108,10,0
22.9616,-164.2653,-1.9902,1.4225,10,0
23.1671,-162.8133,-1.9913,1.4392,10,0
23.3673,-161.3343,-1.9965,1.4535,10,0
